name,url,category,notes
Greenridge Secondary School,https://www.greenridgesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Guangyang Secondary School,https://guangyangsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Hai Sing Catholic School,https://www.haisingcatholic.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Hillgrove Secondary School,https://www.hillgrovesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Holy Innocents' High School,https://www.holyinnocentshigh.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Hougang Secondary School,https://www.hougangsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Hua Yi Secondary School,https://www.huayisec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Hwa Chong Institution,https://www.hci.edu.sg/,secondary,SAP; GEP; IP; INDEPENDENT SCHOOL; IP/through-train
Junyuan Secondary School,https://junyuansec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Jurong Secondary School,https://www.jurongsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Jurong West Secondary School,https://www.jurongwestsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Jurongville Secondary School,https://www.jurongvillesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Juying Secondary School,https://juyingsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Kent Ridge Secondary School,https://www.kentridgesec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Kranji Secondary School,https://www.kranjisec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Kuo Chuan Presbyterian Secondary School,https://www.kuochuanpresbyteriansec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Loyang View Secondary School,https://www.loyangviewsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Manjusri Secondary School,https://www.manjusrisec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
Marsiling Secondary School,https://www.marsilingsec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Mayflower Secondary School,https://www.mayflowersec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Meridian Secondary School,https://www.meridiansec.moe.edu.sg/,secondary,GOVERNMENT SCHOOL
Montfort Secondary School,https://montfortsec.moe.edu.sg/,secondary,GOVERNMENT-AIDED SCH
